workload,region_size,seed,phase_index,l2hr,util,scr,l2_hits,l2_misses,region_fetched_bytes,region_accessed_bytes,active_regions,sharer_consistent_regions
pagerank,256,42,1,0.9306799962274828,0.48155737704918034,1.0,9868,735,93696,45120,366,366
pagerank,256,42,2,0.995942656207736,0.4978813559322034,1.0,3682,15,90624,45120,354,354
pagerank,256,43,0,,,,0,0,0,0,0,0
pagerank,256,43,1,0.9342458400429415,0.48155737704918034,1.0,10443,735,93696,45120,366,366
pagerank,256,43,2,0.996408905913335,0.4909470752089137,1.0,4162,15,91904,45120,359,359
pagerank,256,44,0,,,,0,0,0,0,0,0
pagerank,256,44,1,0.9300133307941344,0.48155737704918034,1.0,9767,735,93696,45120,366,366
pagerank,256,44,2,0.995731360273193,0.49508426966292135,1.0,3499,15,91136,45120,356,356
pagerank,4096,42,0,,,,0,0,0,0,0,0
pagerank,4096,42,1,0.9306799962274828,0.3671875,1.0,9868,735,122880,45120,30,30
pagerank,4096,42,2,0.995942656207736,0.42367788461538464,1.0,3682,15,106496,45120,26,26
pagerank,4096,43,0,,,,0,0,0,0,0,0
pagerank,4096,43,1,0.9342458400429415,0.3671875,1.0,10443,735,122880,45120,30,30
pagerank,4096,43,2,0.996408905913335,0.42367788461538464,1.0,4162,15,106496,45120,26,26
pagerank,4096,44,0,,,,0,0,0,0,0,0
pagerank,4096,44,1,0.9300133307941344,0.3671875,1.0,9767,735,122880,45120,30,30
pagerank,4096,44,2,0.995731360273193,0.42367788461538464,1.0,3499,15,106496,45120,26,26
pagerank,64,42,0,,,,0,0,0,0,0,0
pagerank,64,42,1,0.9306799962274828,0.4895833333333333,1.0,9868,735,92160,45120,1440,1440
pagerank,64,42,2,0.995942656207736,0.544822256568779,1.0,3682,15,82816,45120,1294,1294
pagerank,64,43,0,,,,0,0,0,0,0,0
pagerank,64,43,1,0.9342458400429415,0.4895833333333333,1.0,10443,735,92160,45120,1440,1440
pagerank,64,43,2,0.996408905913335,0.5180014695077149,1.0,4162,15,87104,45120,1361,1361
pagerank,64,44,0,,,,0,0,0,0,0,0
pagerank,64,44,1,0.9300133307941344,0.4895833333333333,1.0,9767,735,92160,45120,1440,1440
pagerank,64,44,2,0.995731360273193,0.5671761866452132,1.0,3499,15,79552,45120,1243,1243
simpleconvolution,1024,42,0,,,,0,0,0,0,0,0
simpleconvolution,1024,42,1,,,,0,0,0,0,0,0
simpleconvolution,1024,42,2,0.6286342347119124,0.4978359564164649,1.0,56909,33619,4229120,2105408,4130,4130
simpleconvolution,1024,43,0,,,,0,0,0,0,0,0
simpleconvolution,1024,43,1,,,,0,0,0,0,0,0
simpleconvolution,1024,43,2,0.6286342347119124,0.4978359564164649,1.0,56909,33619,4229120,2105408,4130,4130
simpleconvolution,1024,44,0,,,,0,0,0,0,0,0
simpleconvolution,1024,44,1,,,,0,0,0,0,0,0
simpleconvolution,1024,44,2,0.6286342347119124,0.4978359564164649,1.0,56909,33619,4229120,2105408,4130,4130
simpleconvolution,16384,42,0,,,,0,0,0,0,0,0
simpleconvolution,16384,42,1,,,,0,0,0,0,0,0
simpleconvolution,16384,42,2,0.6286342347119124,0.4867572206439394,1.0,56909,33619,4325376,2105408,264,264
simpleconvolution,16384,43,0,,,,0,0,0,0,0,0
simpleconvolution,16384,43,1,,,,0,0,0,0,0,0
simpleconvolution,16384,43,2,0.6286342347119124,0.4867572206439394,1.0,56909,33619,4325376,2105408,264,264
simpleconvolution,16384,44,0,,,,0,0,0,0,0,0
simpleconvolution,16384,44,1,,,,0,0,0,0,0,0
simpleconvolution,16384,44,2,0.6286342347119124,0.4867572206439394,1.0,56909,33619,4325376,2105408,264,264
simpleconvolution,256,42,0,,,,0,0,0,0,0,0
simpleconvolution,256,42,1,,,,0,0,0,0,0,0
simpleconvolution,256,42,2,0.6286342347119124,0.49934729811778994,1.0,56909,33619,4216320,2105408,16470,16470
simpleconvolution,256,43,0,,,,0,0,0,0,0,0
simpleconvolution,256,43,1,,,,0,0,0,0,0,0
simpleconvolution,256,43,2,0.6286342347119124,0.49934729811778994,1.0,56909,33619,4216320,2105408,16470,16470
simpleconvolution,256,44,0,,,,0,0,0,0,0,0
simpleconvolution,256,44,1,,,,0,0,0,0,0,0
simpleconvolution,256,44,2,0.6286342347119124,0.49934729811778994,1.0,56909,33619,4216320,2105408,16470,16470
simpleconvolution,4096,42,0,,,,0,0,0,0,0,0
simpleconvolution,4096,42,1,,,,0,0,0,0,0,0
simpleconvolution,4096,42,2,0.6286342347119124,0.4914107313575526,1.0,56909,33619,4284416,2105408,1046,1046
simpleconvolution,4096,43,0,,,,0,0,0,0,0,0
simpleconvolution,4096,43,1,,,,0,0,0,0,0,0
simpleconvolution,4096,43,2,0.6286342347119124,0.4914107313575526,1.0,56909,33619,4284416,2105408,1046,1046
simpleconvolution,4096,44,0,,,,0,0,0,0,0,0
simpleconvolution,4096,44,1,,,,0,0,0,0,0,0
simpleconvolution,4096,44,2,0.6286342347119124,0.4914107313575526,1.0,56909,33619,4284416,2105408,1046,1046
simpleconvolution,64,42,0,,,,0,0,0,0,0,0
simpleconvolution,64,42,1,,,,0,0,0,0,0,0
