workload,region_size,phase_index,active_regions_mean,util_mean,m1a_mean,m2a_mean,m3a_mean,m4a_mean,m5a_mean
matrixmultiplication,16384,1,36.0,0.3524305555555556,0.005494505494505495,71489.94231918221,0.059190996325660904,0.5901639344262295,0.0
matrixmultiplication,16384,2,61.0,0.41803278688524587,0.004670750382848392,67092.61362624055,0.03343393866593779,0.0,1.0491803278688525
matrixmultiplication,16384,3,0.0,,,0.0,0.0,,
matrixtranspose,64,0,0.0,,,0.0,0.0,0.0,
matrixtranspose,64,1,65592.0,0.49957311867300885,1.0,54056.14432421163,0.0062431889103103655,1.0,0.0039029149896328817
matrixtranspose,256,0,0.0,,,0.0,0.0,0.0,
matrixtranspose,256,1,16404.0,0.4993903925871739,0.2500914745700695,54056.14432421163,0.0062431889103103655,1.0,0.015605949768349184
matrixtranspose,1024,0,0.0,,,0.0,0.0,0.0,
matrixtranspose,1024,1,4108.0,0.49853943524829597,0.06262958897426515,54056.14432421163,0.0062431889103103655,1.0,0.062317429406036996
matrixtranspose,4096,0,0.0,,,0.0,0.0,0.0,
matrixtranspose,4096,1,1036.0,0.4942084942084943,0.01579460909867057,54056.14432421163,0.0062431889103103655,1.0,0.24710424710424714
matrixtranspose,16384,0,0.0,,,0.0,0.0,0.0,
matrixtranspose,16384,1,264.0,0.48484848484848486,0.00402488108305891,54056.14432421163,0.0062431889103103655,1.0,0.9696969696969697
pagerank,64,0,0.0,,,0.0,0.0,0.0,
pagerank,64,1,1440.0,0.4895833333333333,1.0,23650.8534137777,0.07951181822161035,0.9023148148148148,1.4222222222222223
pagerank,64,2,1299.3333333333333,0.543333304240569,1.0,32356.96771894085,0.1028990161574569,1.0,0.7891819908402024
pagerank,256,0,0.0,,,0.0,0.0,0.0,
pagerank,256,1,366.0,0.48155737704918034,0.25416666666666665,23650.8534137777,0.07951181822161035,0.9735883424408014,5.595628415300546
pagerank,256,2,356.3333333333333,0.4946375669346795,0.2745836070091316,32356.96771894085,0.1028990161574569,1.0,2.8738091832119816
pagerank,1024,0,0.0,,,0.0,0.0,0.0,
pagerank,1024,1,98.0,0.4496173469387756,0.06805555555555555,23650.8534137777,0.07951181822161035,0.9489795918367347,20.897959183673468
pagerank,1024,2,93.0,0.4737903225806452,0.07167375502747932,32356.96771894085,0.1028990161574569,1.0,11.010752688172042
pagerank,4096,0,0.0,,,0.0,0.0,0.0,
pagerank,4096,1,30.0,0.3671875,0.020833333333333332,23650.8534137777,0.07951181822161035,0.8666666666666667,68.26666666666667
pagerank,4096,2,26.0,0.42367788461538464,0.020037823986177015,32356.96771894085,0.1028990161574569,1.0,39.38461538461539
pagerank,16384,0,0.0,,,0.0,0.0,0.0,
pagerank,16384,1,9.0,0.3059895833333333,0.006250000000000001,23650.8534137777,0.07951181822161035,0.9,227.55555555555554
pagerank,16384,2,10.0,0.275390625,0.007706855379298851,32356.96771894085,0.1028990161574569,1.0,102.40000000000002
simpleconvolution,64,0,0.0,,,0.0,0.0,,
simpleconvolution,64,1,0.0,,,0.0,0.0,0.0,
simpleconvolution,64,2,65838.0,0.4996658464716425,1.0,49213.261822399065,0.00569073755670806,1.0,0.06276010814423282
simpleconvolution,256,0,0.0,,,0.0,0.0,,
simpleconvolution,256,1,0.0,,,0.0,0.0,0.0,
simpleconvolution,256,2,16470.0,0.49934729811778994,0.250159482365807,49213.261822399065,0.00569073755670806,1.0,0.2508803885853066
simpleconvolution,1024,0,0.0,,,0.0,0.0,,
simpleconvolution,1024,1,0.0,,,0.0,0.0,0.0,
