workload,region_size,seed,phase_index,active_regions,retired_wavefronts,region_fetched_bytes,region_accessed_bytes,l2hr,util,m1a,m2a,m3a,m4a,m5a
matrixmultiplication,16384,42,2,61,64,999424,417792,0.43723982565257846,0.4180327868852459,0.004670750382848392,67092.61362624055,0.03343393866593779,0.0,1.0491803278688525
matrixmultiplication,16384,42,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,16384,43,0,13,0,212992,1280,0.4782608695652174,0.006009615384615385,0.14130434782608695,88558.31499752014,0.09054045378778564,0.3611111111111111,0.0
matrixmultiplication,16384,43,1,36,0,589824,207872,0.4185728558658043,0.3524305555555556,0.005494505494505495,71489.94231918221,0.059190996325660904,0.5901639344262295,0.0
matrixmultiplication,16384,43,2,61,64,999424,417792,0.43723982565257846,0.4180327868852459,0.004670750382848392,67092.61362624055,0.03343393866593779,0.0,1.0491803278688525
matrixmultiplication,16384,43,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,16384,44,0,13,0,212992,1280,0.4782608695652174,0.006009615384615385,0.14130434782608695,88558.31499752014,0.09054045378778564,0.3611111111111111,0.0
matrixmultiplication,16384,44,1,36,0,589824,207872,0.4185728558658043,0.3524305555555556,0.005494505494505495,71489.94231918221,0.059190996325660904,0.5901639344262295,0.0
matrixmultiplication,16384,44,2,61,64,999424,417792,0.43723982565257846,0.4180327868852459,0.004670750382848392,67092.61362624055,0.03343393866593779,0.0,1.0491803278688525
matrixmultiplication,16384,44,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,256,42,0,40,0,10240,1280,0.4782608695652174,0.125,0.43478260869565216,88558.31499752014,0.09054045378778564,0.024271844660194174,0.0
matrixmultiplication,256,42,1,1648,0,421888,207872,0.4185728558658043,0.49271844660194175,0.2515262515262515,71489.94231918221,0.059190996325660904,0.5042839657282742,0.0
matrixmultiplication,256,42,2,3268,64,836608,417792,0.43723982565257846,0.49938800489596086,0.25022970903522207,67092.61362624055,0.03343393866593779,0.0,0.019583843329253364
matrixmultiplication,256,42,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,256,43,0,40,0,10240,1280,0.4782608695652174,0.125,0.43478260869565216,88558.31499752014,0.09054045378778564,0.024271844660194174,0.0
matrixmultiplication,256,43,1,1648,0,421888,207872,0.4185728558658043,0.49271844660194175,0.2515262515262515,71489.94231918221,0.059190996325660904,0.5042839657282742,0.0
