sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.006430735,5,4,snapshot,1024,1054,0.998102,0.999447,0.998102,{"1":8188,"2":4},0.996205,0.003795,0.000000,0.000000,0.996205,0.001898,0.500000
0.006430735,5,4,read_only,4096,195,1.000000,1.000000,1.000000,{"1":6147},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006430735,5,4,union,4096,195,1.000000,1.000000,1.000000,{"1":6147},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006430735,5,4,snapshot,4096,272,0.988971,0.999240,0.988971,{"1":8188,"2":4},0.985294,0.014706,0.000000,0.000000,0.985294,0.003676,0.250000
0.006430735,5,4,read_only,16384,51,0.960784,0.990196,0.960784,{"1":6147},0.960784,0.039216,0.000000,0.000000,0.960784,0.000000,0.000000
0.006430735,5,4,union,16384,51,0.960784,0.990196,0.960784,{"1":6147},0.960784,0.039216,0.000000,0.000000,0.960784,0.000000,0.000000
0.006430735,5,4,snapshot,16384,81,0.925926,0.990555,0.925926,{"1":8188,"2":4},0.925926,0.074074,0.000000,0.000000,0.925926,0.000000,0.000000
0.008404704,5,5,read_only,64,93311,1.000000,1.000000,1.000000,{"1":51449,"2":41848,"3":14},0.551371,0.448479,0.000150,0.000000,0.551371,0.448629,1.000000
0.008404704,5,5,union,64,93311,1.000000,1.000000,1.000000,{"1":51449,"2":41848,"3":14},0.551371,0.448479,0.000150,0.000000,0.551371,0.448629,1.000000
0.008404704,5,5,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":6843,"2":1343,"3":6},0.835327,0.163940,0.000732,0.000000,0.835327,0.164673,1.000000
0.008404704,5,5,read_only,256,46674,0.998843,0.999422,0.998843,{"1":51449,"2":41848,"3":14},0.550906,0.448772,0.000321,0.000000,0.550906,0.447937,0.997424
0.008404704,5,5,union,256,46674,0.998843,0.999422,0.998843,{"1":51449,"2":41848,"3":14},0.550906,0.448772,0.000321,0.000000,0.550906,0.447937,0.997424
0.008404704,5,5,snapshot,256,4186,0.997133,0.998567,0.997133,{"1":6843,"2":1343,"3":6},0.827998,0.170569,0.001433,0.000000,0.827998,0.169135,0.983333
0.008404704,5,5,read_only,1024,11697,0.993845,0.998166,0.993845,{"1":51449,"2":41848,"3":14},0.548004,0.450714,0.001282,0.000000,0.548004,0.445841,0.986382
0.008404704,5,5,union,1024,11697,0.993845,0.998166,0.993845,{"1":51449,"2":41848,"3":14},0.548004,0.450714,0.001282,0.000000,0.548004,0.445841,0.986382
0.008404704,5,5,snapshot,1024,1121,0.977698,0.994683,0.977698,{"1":6843,"2":1343,"3":6},0.801963,0.192685,0.005352,0.000000,0.801963,0.175736,0.887387
0.008404704,5,5,read_only,4096,2953,0.974941,0.993149,0.974941,{"1":51449,"2":41848,"3":14},0.536742,0.458178,0.005080,0.000000,0.536742,0.438198,0.945906
0.008404704,5,5,union,4096,2953,0.974941,0.993149,0.974941,{"1":51449,"2":41848,"3":14},0.536742,0.458178,0.005080,0.000000,0.536742,0.438198,0.945906
0.008404704,5,5,snapshot,4096,335,0.922388,0.991768,0.922388,{"1":6843,"2":1343,"3":6},0.731343,0.250746,0.017910,0.000000,0.731343,0.191045,0.711111
0.008404704,5,5,read_only,16384,783,0.859515,0.961101,0.859515,{"1":51449,"2":41848,"3":14},0.468710,0.499361,0.031928,0.000000,0.468710,0.390805,0.735577
0.008404704,5,5,union,16384,783,0.859515,0.961101,0.859515,{"1":51449,"2":41848,"3":14},0.468710,0.499361,0.031928,0.000000,0.468710,0.390805,0.735577
0.008404704,5,5,snapshot,16384,148,0.817568,0.996183,0.817568,{"1":6843,"2":1343,"3":6},0.601351,0.358108,0.040541,0.000000,0.601351,0.216216,0.542373
0.010474821,5,6,read_only,64,18331,1.000000,1.000000,1.000000,{"1":18330,"2":1},0.999945,0.000055,0.000000,0.000000,0.999945,0.000055,1.000000
0.010474821,5,6,union,64,18331,1.000000,1.000000,1.000000,{"1":18330,"2":1},0.999945,0.000055,0.000000,0.000000,0.999945,0.000055,1.000000
