sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.007834011,4,5,read_only,256,10657,1.000000,1.000000,1.000000,{"1":6196,"2":4458,"3":3},0.581402,0.418317,0.000282,0.000000,0.581402,0.418598,1.000000
0.007834011,4,5,union,256,10657,1.000000,1.000000,1.000000,{"1":6196,"2":4458,"3":3},0.581402,0.418317,0.000282,0.000000,0.581402,0.418598,1.000000
0.007834011,4,5,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":4998,"2":3191,"3":3},0.610107,0.389526,0.000366,0.000000,0.610107,0.389893,1.000000
0.007834011,4,5,read_only,1024,10657,1.000000,1.000000,1.000000,{"1":6196,"2":4458,"3":3},0.581402,0.418317,0.000282,0.000000,0.581402,0.418598,1.000000
0.007834011,4,5,union,1024,10657,1.000000,1.000000,1.000000,{"1":6196,"2":4458,"3":3},0.581402,0.418317,0.000282,0.000000,0.581402,0.418598,1.000000
0.007834011,4,5,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":4998,"2":3191,"3":3},0.610107,0.389526,0.000366,0.000000,0.610107,0.389893,1.000000
0.007834011,4,5,read_only,4096,2747,0.984347,0.994024,0.984347,{"1":6196,"2":4458,"3":3},0.569348,0.426647,0.004004,0.000000,0.569348,0.414998,0.963652
0.007834011,4,5,union,4096,2747,0.984347,0.994024,0.984347,{"1":6196,"2":4458,"3":3},0.569348,0.426647,0.004004,0.000000,0.569348,0.414998,0.963652
0.007834011,4,5,snapshot,4096,2177,0.975195,0.991196,0.975195,{"1":4998,"2":3191,"3":3},0.596233,0.399173,0.004593,0.000000,0.596233,0.378962,0.938567
0.007834011,4,5,read_only,16384,786,0.902036,0.970344,0.902036,{"1":6196,"2":4458,"3":3},0.512723,0.461832,0.025445,0.000000,0.512723,0.389313,0.798956
0.007834011,4,5,union,16384,786,0.902036,0.970344,0.902036,{"1":6196,"2":4458,"3":3},0.512723,0.461832,0.025445,0.000000,0.512723,0.389313,0.798956
0.007834011,4,5,snapshot,16384,682,0.873900,0.967369,0.873900,{"1":4998,"2":3191,"3":3},0.552786,0.422287,0.024927,0.000000,0.552786,0.321114,0.718033
0.009933211,4,6,read_only,64,1999,1.000000,1.000000,1.000000,{"1":1922,"2":77},0.961481,0.038519,0.000000,0.000000,0.961481,0.038519,1.000000
0.009933211,4,6,union,64,2001,1.000000,1.000000,1.000000,{"1":1924,"2":77},0.961519,0.038481,0.000000,0.000000,0.961519,0.038481,1.000000
0.009933211,4,6,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":5745,"2":2444,"3":3},0.701294,0.298340,0.000366,0.000000,0.701294,0.298706,1.000000
0.009933211,4,6,read_only,256,1999,1.000000,1.000000,1.000000,{"1":1922,"2":77},0.961481,0.038519,0.000000,0.000000,0.961481,0.038519,1.000000
0.009933211,4,6,union,256,2001,1.000000,1.000000,1.000000,{"1":1924,"2":77},0.961519,0.038481,0.000000,0.000000,0.961519,0.038481,1.000000
0.009933211,4,6,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":5745,"2":2444,"3":3},0.701294,0.298340,0.000366,0.000000,0.701294,0.298706,1.000000
0.009933211,4,6,read_only,1024,1999,1.000000,1.000000,1.000000,{"1":1922,"2":77},0.961481,0.038519,0.000000,0.000000,0.961481,0.038519,1.000000
0.009933211,4,6,union,1024,2001,1.000000,1.000000,1.000000,{"1":1924,"2":77},0.961519,0.038481,0.000000,0.000000,0.961519,0.038481,1.000000
0.009933211,4,6,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":5745,"2":2444,"3":3},0.701294,0.298340,0.000366,0.000000,0.701294,0.298706,1.000000
0.009933211,4,6,read_only,4096,517,0.988395,0.995809,0.988395,{"1":1922,"2":77},0.945841,0.052224,0.001934,0.000000,0.945841,0.042553,0.785714
0.009933211,4,6,union,4096,517,0.988395,0.995809,0.988395,{"1":1924,"2":77},0.945841,0.052224,0.001934,0.000000,0.945841,0.042553,0.785714
0.009933211,4,6,snapshot,4096,2195,0.976765,0.991989,0.976765,{"1":5745,"2":2444,"3":3},0.680638,0.314351,0.005011,0.000000,0.680638,0.296128,0.927247
0.009933211,4,6,read_only,16384,151,0.907285,0.972801,0.907285,{"1":1922,"2":77},0.860927,0.125828,0.013245,0.000000,0.860927,0.046358,0.333333
0.009933211,4,6,union,16384,151,0.907285,0.972328,0.907285,{"1":1924,"2":77},0.860927,0.125828,0.013245,0.000000,0.860927,0.046358,0.333333
0.009933211,4,6,snapshot,16384,712,0.880618,0.969246,0.880618,{"1":5745,"2":2444,"3":3},0.601124,0.379213,0.019663,0.000000,0.601124,0.279494,0.700704
